CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Attrition_Flag
717908208,43,F,3,Graduate,Divorced,Less than $40K,Blue,36,6,1,2,2525.0,1595,930.0,0.78,4859,82,0.864,0.632,Existing Customer
713476758,44,M,4,Unknown,Married,$60K - $80K,Blue,32,4,1,1,10007.0,1586,8421.0,0.921,4309,77,0.711,0.158,Existing Customer
819700533,50,M,0,High School,Single,$120K +,Silver,45,5,2,3,14938.0,2303,12635.0,0.804,949,27,2.0,0.154,Existing Customer
778885158,57,M,3,Uneducated,Married,$80K - $120K,Blue,38,5,3,3,2472.0,2457,15.0,0.693,1392,33,0.737,0.994,Existing Customer
817977933,63,F,0,Graduate,Single,Less than $40K,Blue,56,5,6,3,1931.0,1531,400.0,0.778,2288,48,0.714,0.793,Attrited Customer
712515558,35,M,1,College,Single,$60K - $80K,Blue,26,3,2,3,23447.0,1515,21932.0,0.622,2834,77,0.638,0.065,Existing Customer
713187033,46,M,1,Uneducated,Married,$60K - $80K,Blue,36,3,2,2,20459.0,2071,18388.0,1.248,1767,38,2.167,0.101,Existing Customer
716480358,45,M,3,Uneducated,Single,$60K - $80K,Blue,36,2,2,1,11121.0,1296,9825.0,0.789,13814,81,1.025,0.117,Existing Customer
715980258,36,F,1,Doctorate,Single,Less than $40K,Blue,25,1,2,3,2835.0,2511,324.0,0.731,4811,77,0.925,0.886,Existing Customer
718932633,45,F,3,College,Married,Less than $40K,Blue,35,3,2,2,1717.0,1156,561.0,0.647,4301,64,0.641,0.673,Existing Customer
720398958,53,F,1,Uneducated,Single,Less than $40K,Blue,43,6,2,3,2126.0,1257,869.0,0.632,4340,70,0.892,0.591,Existing Customer
721143258,46,M,1,High School,Single,$40K - $60K,Blue,33,6,4,3,1664.0,798,866.0,0.703,4804,66,0.535,0.48,Existing Customer
717591483,52,F,3,Graduate,Single,Less than $40K,Blue,44,4,1,3,3416.0,2044,1372.0,0.994,1924,48,0.92,0.598,Existing Customer
718469658,37,F,2,Uneducated,Married,Unknown,Blue,22,4,3,3,7927.0,996,6931.0,0.521,4094,85,0.771,0.126,Existing Customer
823535133,45,M,2,Uneducated,Unknown,$80K - $120K,Blue,41,6,2,2,23271.0,1262,22009.0,0.718,1402,34,0.889,0.054,Existing Customer
709523508,65,F,0,Uneducated,Unknown,Less than $40K,Silver,53,5,1,2,11097.0,0,11097.0,0.648,4836,83,0.566,0.0,Existing Customer
708260208,43,F,5,Uneducated,Single,Less than $40K,Blue,36,4,3,2,2057.0,1279,778.0,0.562,4321,76,0.689,0.622,Existing Customer
794545983,57,M,2,Graduate,Married,$80K - $120K,Blue,40,3,2,3,12208.0,1980,10228.0,0.616,1409,34,0.619,0.162,Existing Customer
812788233,31,F,0,Graduate,Married,Less than $40K,Blue,21,4,1,4,6315.0,1305,5010.0,0.542,2205,43,0.265,0.207,Existing Customer
778493808,49,M,3,High School,Married,$60K - $80K,Blue,37,5,2,1,3906.0,0,3906.0,1.214,1756,32,1.0,0.0,Existing Customer
779725833,42,M,2,Graduate,Single,$60K - $80K,Blue,26,4,3,2,11761.0,1775,9986.0,0.925,4946,73,0.698,0.151,Existing Customer
710094108,33,M,3,Graduate,Single,$60K - $80K,Blue,27,6,2,3,2043.0,1725,318.0,0.686,5212,79,0.646,0.844,Existing Customer
718174908,53,F,3,Uneducated,Married,Less than $40K,Blue,36,4,3,2,4224.0,2417,1807.0,0.522,1458,29,1.071,0.572,Existing Customer
708207783,50,F,3,High School,Single,Less than $40K,Blue,42,1,3,2,1477.0,0,1477.0,0.685,4680,80,0.778,0.0,Existing Customer
771935283,47,F,4,Graduate,Single,$40K - $60K,Blue,36,1,2,1,2977.0,1927,1050.0,0.731,5217,88,0.725,0.647,Existing Customer
789611283,44,M,4,Graduate,Married,$40K - $60K,Blue,38,5,2,3,5452.0,2091,3361.0,0.813,1347,30,0.5,0.384,Existing Customer
712105533,32,M,2,High School,Single,$40K - $60K,Blue,20,6,3,4,2235.0,1638,597.0,0.912,2905,56,0.806,0.733,Existing Customer
712114458,49,F,3,Uneducated,Married,Less than $40K,Blue,31,6,3,3,2960.0,1835,1125.0,0.532,3941,64,0.455,0.62,Existing Customer
710406633,51,F,3,Uneducated,Married,Unknown,Blue,36,3,3,2,3664.0,0,3664.0,0.839,1168,31,0.409,0.0,Attrited Customer
715395933,44,F,3,College,Unknown,Unknown,Blue,35,5,2,2,11238.0,2336,8902.0,0.911,5302,70,0.892,0.208,Existing Customer
806914158,38,F,4,Graduate,Married,$40K - $60K,Blue,33,4,3,1,4047.0,0,4047.0,0.648,2134,34,0.478,0.0,Attrited Customer
779474958,35,F,3,Unknown,Single,Less than $40K,Blue,17,6,1,1,2956.0,1823,1133.0,0.969,2144,58,0.812,0.617,Existing Customer
717663033,51,M,2,Uneducated,Single,$120K +,Blue,35,1,2,2,34516.0,1068,33448.0,0.966,16428,123,0.809,0.031,Existing Customer
717489033,27,F,0,High School,Single,Less than $40K,Blue,18,6,1,4,1438.3,0,1438.3,0.781,2641,40,0.6,0.0,Attrited Customer
719152383,35,F,4,Uneducated,Married,Less than $40K,Blue,26,5,1,4,2494.0,1316,1178.0,1.486,2946,57,1.036,0.528,Existing Customer
787921383,53,M,0,High School,Single,$120K +,Silver,44,2,4,4,34516.0,2297,32219.0,0.416,1461,43,0.536,0.067,Attrited Customer
716024808,57,M,1,Graduate,Married,$80K - $120K,Blue,36,3,3,3,4829.0,2418,2411.0,0.601,938,21,0.4,0.501,Attrited Customer
718284408,43,F,3,Unknown,Married,Less than $40K,Blue,30,5,2,2,2415.0,1452,963.0,0.609,3970,68,0.619,0.601,Existing Customer
719530158,57,M,1,Graduate,Single,$60K - $80K,Blue,44,3,3,2,9843.0,1273,8570.0,0.563,3677,66,0.571,0.129,Existing Customer
718919433,52,F,4,Graduate,Single,Less than $40K,Blue,36,2,3,3,4440.0,1149,3291.0,0.842,14973,112,0.723,0.259,Existing Customer
712506708,39,F,3,College,Single,Less than $40K,Blue,25,6,1,2,3920.0,2008,1912.0,0.944,3178,53,0.656,0.512,Existing Customer
815539233,54,M,4,High School,Single,$80K - $120K,Silver,49,1,3,4,34516.0,214,34302.0,0.0,1201,22,0.0,0.006,Attrited Customer
792272658,40,M,3,Graduate,Single,$80K - $120K,Blue,34,3,3,4,22380.0,1220,21160.0,0.884,3756,73,0.78,0.055,Existing Customer
715532208,65,F,1,High School,Single,Less than $40K,Blue,55,3,3,2,4010.0,1504,2506.0,0.766,3807,61,0.564,0.375,Existing Customer
788946783,50,M,2,Unknown,Single,$120K +,Blue,36,5,1,3,9697.0,0,9697.0,0.759,1812,50,0.923,0.0,Existing Customer
719922558,45,F,5,Unknown,Divorced,$40K - $60K,Blue,33,2,2,3,1438.3,0,1438.3,0.739,5346,84,0.787,0.0,Existing Customer
779805408,42,M,3,Unknown,Married,Less than $40K,Silver,31,1,1,1,14630.0,0,14630.0,0.752,8217,99,0.65,0.0,Existing Customer
765847383,50,M,1,Graduate,Married,$120K +,Blue,43,4,5,3,20958.0,0,20958.0,0.769,4425,78,0.696,0.0,Existing Customer
713138433,50,M,3,Graduate,Single,$60K - $80K,Blue,42,4,2,3,14782.0,1020,13762.0,0.683,3206,54,0.8,0.069,Existing Customer
789151983,43,F,4,Graduate,Unknown,$40K - $60K,Blue,31,2,3,3,4091.0,1108,2983.0,0.774,5244,87,0.706,0.271,Existing Customer
818908833,46,M,3,Graduate,Married,$40K - $60K,Blue,41,5,2,2,2564.0,0,2564.0,1.026,2038,45,0.364,0.0,Existing Customer
717707133,32,M,1,Unknown,Single,$40K - $60K,Blue,24,6,2,3,10060.0,2322,7738.0,0.894,2184,63,1.032,0.231,Existing Customer
715369008,46,F,3,High School,Single,Less than $40K,Blue,36,1,2,2,3759.0,0,3759.0,0.722,15331,106,0.767,0.0,Existing Customer
718569258,56,F,2,Unknown,Married,Less than $40K,Blue,36,5,3,3,2029.0,974,1055.0,0.624,4170,73,0.553,0.48,Existing Customer
809565183,52,F,1,Graduate,Single,Less than $40K,Blue,47,3,3,4,1842.0,625,1217.0,0.729,2650,43,0.483,0.339,Attrited Customer
715493733,53,M,2,Graduate,Married,$40K - $60K,Blue,36,2,3,4,5735.0,0,5735.0,1.009,9088,64,0.684,0.0,Attrited Customer
709381383,49,M,4,Graduate,Married,$60K - $80K,Blue,36,4,6,2,2952.0,2517,435.0,0.809,3830,77,0.51,0.853,Existing Customer
721387008,42,M,4,Graduate,Married,$120K +,Blue,24,3,2,3,3103.0,1783,1320.0,0.479,4792,69,0.643,0.575,Existing Customer
