CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Attrition_Flag
789601308,58,M,3,Unknown,Married,$120K +,Blue,52,4,5,3,12398,0,12398,0.785,4228,93,0.788,0,
712545183,51,F,4,Uneducated,Single,Less than $40K,Blue,37,4,4,2,1765,1487,278,0.738,3333,66,1,0.842,
796145133,46,F,2,Uneducated,Married,Unknown,Blue,40,3,2,2,6083,1716,4367,0.618,4528,86,0.755,0.282,
770781558,35,F,2,Graduate,Married,Less than $40K,Blue,21,5,1,2,3230,2517,713,0.677,1914,31,0.348,0.779,
814765533,44,F,4,High School,Single,$40K - $60K,Blue,39,4,3,3,10587,2517,8070,1.052,2971,54,0.742,0.238,
717308433,49,M,5,Uneducated,Unknown,$60K - $80K,Blue,43,3,3,3,1960,0,1960,0.493,2253,39,0.345,0,
715771608,41,M,3,Graduate,Married,$120K +,Silver,36,3,3,2,34516,1453,33063,0.357,4147,76,0.949,0.042,
715058433,43,F,4,Uneducated,Married,Less than $40K,Blue,36,5,3,3,3006,879,2127,0.759,5125,87,0.74,0.292,
721384308,39,F,1,Uneducated,Married,$40K - $60K,Blue,36,4,1,4,3272,2323,949,1.123,4763,86,0.593,0.71,
713987808,43,F,3,College,Single,Less than $40K,Blue,33,4,2,2,5702,2165,3537,0.79,14970,120,0.935,0.38,
789713208,62,F,0,Doctorate,Single,Less than $40K,Blue,50,6,3,5,2936,326,2610,0.935,2692,29,0.526,0.111,
772292358,30,M,1,College,Divorced,Less than $40K,Blue,19,4,3,3,7970,0,7970,0.776,1284,30,0.429,0,
801373833,49,M,4,College,Divorced,$40K - $60K,Blue,43,3,2,3,1922,710,1212,0.951,2920,46,1.421,0.369,
