ID,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Price
45687222,-,TOYOTA,Prius,2014,Hatchback,Yes,Hybrid,1.8,75621 km,4.0,Automatic,Front,04-May,Left wheel,Blue,11,20700
45620684,1451,BMW,X5,2011,Sedan,Yes,Petrol,4.4,139363 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0,157
45789095,-,VOLVO,S60,2011,Sedan,No,Petrol,2.5 Turbo,100000 km,5.0,Tiptronic,Front,04-May,Left wheel,Black,10,9408
45796657,-,MERCEDES-BENZ,E 500,2003,Sedan,Yes,Petrol,5,130000 km,8.0,Tiptronic,Front,04-May,Left wheel,Black,12,14113
45808805,-,MERCEDES-BENZ,Sprinter,2000,Microbus,No,Petrol,3.2,100000 km,6.0,Manual,Rear,04-May,Left wheel,White,1,10349
45761262,-,MERCEDES-BENZ,C 220,2001,Sedan,No,Diesel,2.2 Turbo,250000 km,1.0,Tiptronic,Rear,04-May,Left wheel,Blue,4,10349
45732156,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,120923 km,4.0,Automatic,Front,04-May,Left wheel,White,4,44890
45809171,1058,FORD,Taurus,2012,Sedan,Yes,Petrol,3.5,101315 km,4.0,Automatic,Front,04-May,Left wheel,Black,4,24029
45794362,-,SUBARU,Forester CrossSport,2006,Universal,Yes,Petrol,2.0 Turbo,150000 km,4.0,Tiptronic,4x4,04-May,Right-hand drive,White,2,15681
45790261,-,BMW,X5,2003,Jeep,Yes,Petrol,3,1000 km,6.0,Tiptronic,4x4,04-May,Left wheel,Grey,6,13172
42328367,-,MERCEDES-BENZ,Viano,2007,Minivan,No,Diesel,2.2 Turbo,140000 km,4.0,Automatic,Rear,04-May,Left wheel,Blue,2,120
45774250,1668,DODGE,RAM,2012,Sedan,Yes,Petrol,5.7,186251 km,8.0,Automatic,Rear,04-May,Left wheel,Blue,12,7056
45816158,751,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,2.4,216118 km,4.0,Automatic,Front,04-May,Left wheel,Grey,12,549
45803039,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,151193 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4,37564
45781346,-,TOYOTA,Land Cruiser,2013,Jeep,Yes,Petrol,4.7,180000 km,8.0,Tiptronic,4x4,04-May,Left wheel,Black,8,111332
45766042,830,FORD,Escape,2019,Sedan,Yes,Petrol,1.5,4309 km,4.0,Automatic,Front,04-May,Left wheel,White,12,13015
45803487,639,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,636908 km,4.0,Automatic,Front,04-May,Left wheel,Orange,4,8467
45813837,2658,DODGE,Challenger,2016,Coupe,Yes,Petrol,6.4,72995 km,8.0,Automatic,Rear,02-Mar,Left wheel,Red,12,22266
45793489,-,HONDA,FIT,2009,Hatchback,No,Petrol,1.3,185000 km,4.0,Variator,Front,04-May,Right-hand drive,Blue,2,10036
45802944,911,HYUNDAI,Santa FE,2010,Jeep,Yes,Diesel,2.2,68558 km,4.0,Automatic,Front,04-May,Left wheel,Black,4,12083
45727018,707,SSANGYONG,Korando,2011,Jeep,Yes,Diesel,2,124228 km,4.0,Automatic,Front,04-May,Left wheel,Black,4,19416
45813870,-,MERCEDES-BENZ,ML 320 AMG,2002,Jeep,Yes,CNG,3.2,203000 km,6.0,Tiptronic,4x4,04-May,Left wheel,Black,8,11604
45768853,584,HYUNDAI,Elantra,2014,Sedan,Yes,Petrol,1.8,110685 km,4.0,Automatic,Front,04-May,Left wheel,White,12,3763
45810175,1399,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,186005 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,12,13172
45771640,1024,NISSAN,Altima,2010,Sedan,Yes,Petrol,2.5,238342 km,4.0,Automatic,Front,04-May,Left wheel,Black,12,627
45792764,-,TOYOTA,Prius,2011,Hatchback,No,Petrol,1.8,137000 km,4.0,Variator,Front,04-May,Left wheel,White,6,19601
45784594,777,TOYOTA,Camry,2014,Sedan,Yes,Petrol,2.5,104686 km,4.0,Tiptronic,Front,04-May,Left wheel,Silver,10,18817
45803805,1017,HYUNDAI,Tucson,2017,Jeep,Yes,Diesel,2,80000 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4,38157
45809820,915,AUDI,Q7,2014,Jeep,Yes,Petrol,3,85328 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12,2666
45761879,-,VOLKSWAGEN,Jetta,2014,Sedan,Yes,Petrol,1.8 Turbo,112000 km,4.0,Manual,Front,04-May,Left wheel,Black,6,14113
45644398,781,TOYOTA,Camry,2012,Sedan,Yes,Hybrid,2.5,314373 km,4.0,Automatic,Front,04-May,Left wheel,Grey,12,392
45803478,639,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,291437 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4,11604
