ID,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Price
45774419,-,HONDA,FIT,2006,Hatchback,No,Petrol,1.3,200000 km,4.0,Variator,Front,04-May,Right-hand drive,Black,2,
45814106,-,FORD,Transit,2001,Microbus,No,Diesel,2.0 Turbo,230000 km,4.0,Manual,Front,02-Mar,Left wheel,White,0,
45759112,2455,LEXUS,GX 470,2008,Jeep,Yes,Petrol,4.7,0 km,8.0,Automatic,4x4,04-May,Left wheel,White,0,
45732374,707,HYUNDAI,Santa FE,2011,Jeep,Yes,Diesel,2,162000 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4,
45809839,891,HONDA,Civic,2016,Sedan,Yes,Petrol,2,87768 km,4.0,Automatic,Front,04-May,Left wheel,Blue,4,
45638910,530,NISSAN,Juke,2013,Jeep,Yes,Petrol,1.6,312118 km,4.0,Automatic,Front,04-May,Left wheel,Black,0,
45797480,1249,HYUNDAI,H1,2017,Universal,Yes,Diesel,2.5,111643 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4,
45732386,639,HYUNDAI,Santa FE,2014,Jeep,Yes,Diesel,2,69191 km,4.0,Automatic,Front,04-May,Left wheel,White,4,
45733554,-,BMW,520 Vanos,1995,Sedan,Yes,Petrol,2,350000 km,6.0,Manual,Rear,04-May,Left wheel,Blue,2,
45662111,503,HONDA,Civic,2012,Sedan,Yes,Hybrid,1.5,146403 km,4.0,Automatic,Front,04-May,Left wheel,White,0,
45729867,640,SSANGYONG,REXTON,2013,Jeep,Yes,Diesel,2,137267 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4,
45453314,1266,TOYOTA,Aqua,2014,Hatchback,No,Hybrid,1.5,66000 km,4.0,Variator,Front,04-May,Right-hand drive,Silver,4,
45768489,1730,CHEVROLET,Avalanche,2011,Sedan,Yes,Petrol,5.3,246976 km,8.0,Automatic,Front,04-May,Left wheel,Black,12,
45804644,831,HYUNDAI,Tucson,2017,Jeep,Yes,Petrol,1.6,40193 km,4.0,Automatic,Front,04-May,Left wheel,Black,4,
45797238,831,HYUNDAI,Elantra,2017,Sedan,Yes,Diesel,1.6,98000 km,4.0,Automatic,Front,04-May,Left wheel,White,4,
45804881,879,HYUNDAI,Tucson,2019,Jeep,Yes,Diesel,1.6,13000 km,4.0,Automatic,Front,04-May,Left wheel,White,4,
45730558,831,SSANGYONG,Actyon,2017,Jeep,Yes,Diesel,1.6,73000 km,4.0,Automatic,Front,04-May,Left wheel,White,4,
44810053,738,CHEVROLET,Cruze,2017,Sedan,No,Petrol,1.4 Turbo,42000 km,4.0,Tiptronic,Front,>5,Left wheel,Black,12,
45622835,-,NISSAN,Elgrand,1998,Minivan,Yes,Diesel,3.2 Turbo,230000 km,4.0,Automatic,4x4,04-May,Right-hand drive,White,4,
45769910,781,SUBARU,Forester,2012,Jeep,Yes,Petrol,2.5,281659 km,4.0,Automatic,4x4,04-May,Left wheel,Blue,0,
45776871,988,TOYOTA,Prius,2007,Hatchback,Yes,Hybrid,1.5,140000 km,4.0,Variator,Front,04-May,Left wheel,Green,12,
45617361,1091,SUBARU,Forester,2016,Jeep,No,Petrol,2.5,34000 km,4.0,Variator,4x4,04-May,Left wheel,White,7,
45730373,707,SSANGYONG,REXTON,2011,Jeep,Yes,Diesel,2,186412 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4,
44930562,1058,MERCEDES-BENZ,E 350,2012,Sedan,Yes,Petrol,3.5,133000 km,6.0,Automatic,Rear,04-May,Left wheel,Black,12,
45782195,-,BMW,325,1988,Sedan,No,Diesel,2.4,455680 km,6.0,Manual,Rear,04-May,Left wheel,Blue,4,
45764162,1514,LEXUS,GX 470,2011,Sedan,Yes,Petrol,4.6,202048 km,8.0,Automatic,4x4,04-May,Left wheel,White,0,
45804423,642,HYUNDAI,Tucson,2012,Jeep,Yes,Diesel,2,160000 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4,
45775203,-,GAZ,32214,1977,Limousine,No,Petrol,2.4,11111 km,6.0,Manual,Rear,04-May,Left wheel,Black,0,
45813152,751,KIA,Optima,2013,Sedan,Yes,Hybrid,2.4,0 km,4.0,Automatic,Front,04-May,Left wheel,Black,12,
45488069,-,HONDA,Shuttle,2013,Universal,No,Hybrid,1.3,150000 km,4.0,Automatic,Front,04-May,Right-hand drive,White,4,
45765240,1172,MERCEDES-BENZ,E 350,2011,Sedan,Yes,Diesel,3.5,119379 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,12,
45773896,1017,MERCEDES-BENZ,E 300,2017,Sedan,Yes,Petrol,2,26802 km,4.0,Automatic,Rear,04-May,Left wheel,Black,12,
44997899,586,TOYOTA,Prius,2012,Hatchback,No,Hybrid,1.8,110990 km,4.0,Automatic,Front,04-May,Left wheel,Silver,8,
45796806,777,TOYOTA,Camry,2014,Sedan,Yes,Petrol,2.5,125000 km,4.0,Tiptronic,Front,04-May,Left wheel,Grey,12,
45647943,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,109798 km,4.0,Automatic,Front,04-May,Left wheel,White,12,
45656510,603,LEXUS,RX 450,2015,Jeep,Yes,Hybrid,3.5,143619 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12,
