order_num,warehouse,customer_num,order_dtg
TF1810050020220,SH01,34,2018-10-29 13:02:50
TF1810050020418,SH01,262,2018-10-24 14:21:19
TF1810050020171,SH01,109,2018-10-13 12:05:19
TF1810050020204,SH01,82,2018-10-17 01:32:19
TF1810050020160,SH01,47,2018-10-30 23:48:33
TF1810050020145,SH01,74,2018-10-18 04:24:45
TF1810050020081,SH01,92,2018-10-22 09:25:48
TF1810050009405,SH01,221,2018-10-22 17:03:10
TF1810050020376,SH01,83,2018-10-19 00:20:06
TF1810050009236,SH01,197,2018-10-30 13:22:30
TF1810050020364,SH01,265,2018-10-02 01:18:01
TF1810050020155,SH01,272,2018-10-02 13:24:38
TF1810050009257,SH01,264,2018-10-12 12:03:15
TF1810050019637,SH01,272,2018-10-11 06:17:56
TF1810050009645,SH01,69,2018-10-30 03:08:59
TF1810090016427,SH01,159,2018-10-15 15:28:48
TF1810080020674,SH01,122,2018-10-14 06:19:56
TF1810070018987,SH01,252,2018-10-20 01:21:28
TF1810090016409,SH01,278,2018-10-31 10:35:47
TF1810080020777,SH01,250,2018-10-02 22:30:22
TF1810090016442,SH01,77,2018-10-24 06:37:48
TF1810090016600,SH01,26,2018-10-10 02:00:11
TF1810090016487,SH01,51,2018-10-15 21:13:16
TF1810080028639,SH01,49,2018-10-10 08:50:51
TF1810080027679,SH01,173,2018-10-29 06:06:17
TF1810090016034,SH01,111,2018-10-29 15:52:41
TF1810080028667,SH01,285,2018-10-03 19:23:00
TF1810090016054,SH01,41,2018-10-17 02:53:36
TF1810090016027,SH01,116,2018-10-16 17:11:05
608051325,SH01,30,2018-10-28 08:52:41
608056334,SH01,201,2018-10-13 01:36:42
TF1810050020329,SH01,75,2018-10-09 14:37:14
TF1810050009290,SH01,149,2018-10-25 12:49:31
TF1810050009314,SH01,73,2018-10-25 17:01:55
TF1810050009802,SH01,3,2018-10-05 13:45:06
TF1810050020162,SH01,272,2018-10-24 20:52:15
TF1810050009676,SH01,41,2018-10-09 01:28:30
TF1810080021046,SH01,129,2018-10-03 06:02:18
TF1810070019022,SH01,260,2018-10-07 07:05:43
TF1810070019143,SH01,7,2018-10-09 03:01:23
TF1810090016681,SH01,203,2018-10-25 19:54:45
TF1810080028605,SH01,208,2018-10-13 06:02:43
TF1810050020209,SH01,160,2018-10-27 09:59:07
TF1810090016695,SH01,106,2018-10-21 18:12:45
TF1810120016231,SH01,239,2018-10-25 03:05:04
TF1810120016687,SH01,14,2018-10-27 00:55:26
TF1810120021235,SH01,132,2018-10-11 06:12:11
TF1810120021045,SH01,222,2018-10-20 16:20:55
TF1810110014166,SH01,243,2018-10-13 04:57:12
TF1810050009425,SH01,91,2018-10-14 12:52:12
TF1810050020041,SH01,73,2018-10-19 07:57:11
TF1810050020303,SH01,178,2018-10-07 04:34:06
TF1810090015952,SH01,218,2018-10-09 18:02:48
TF1810090015833,SH01,168,2018-10-04 19:27:07
TF1810080021061,SH01,31,2018-10-12 16:11:20
TF1810080028256,SH01,133,2018-10-19 06:59:15
TF1810120020838,SH01,59,2018-10-20 09:04:09
TF1810120021066,SH01,280,2018-10-06 15:44:23
TF1810120021209,SH01,118,2018-10-18 12:55:08
TF1810120013837,SH01,53,2018-10-15 04:41:46
TF1810110014080,SH01,231,2018-10-08 08:42:58
TF1810050020369,SH01,218,2018-10-25 08:45:59
TF1810050009600,SH01,280,2018-10-01 06:55:01
TF1810050009834,SH01,219,2018-10-16 00:26:16
TF1810050009708,SH01,167,2018-10-23 00:29:47
TF1810120020742,SH01,77,2018-10-03 23:52:34
TF1810110014188,SH01,68,2018-10-16 16:24:56
TF1810130004526,SH01,4,2018-10-31 03:07:47
TF1810120020964,SH01,263,2018-10-06 04:02:27
TF1810110014152,SH01,86,2018-10-03 19:29:11
TF1810120013754,SH01,77,2018-10-08 13:11:03
TF1810120016653,SH01,77,2018-10-07 08:35:53
TF1810120013956,SH01,271,2018-10-16 12:10:42
TF1810070018940,SH01,74,2018-10-25 21:09:39
TF1810070019189,SH01,74,2018-10-11 10:28:58
TF1810080027495,SH01,217,2018-10-14 16:09:15
TF1810090016761,SH01,63,2018-10-06 04:59:49
TF1810080028172,SH01,273,2018-10-19 17:34:55
TF1810090016808,SH01,6,2018-10-09 03:55:40
TF1810080028621,SH01,134,2018-10-11 02:24:04
TF1810080027954,SH01,96,2018-10-28 16:36:41
TF1810170016127,SH01,226,2018-10-31 08:16:33
TF1810170016362,SH01,105,2018-10-26 04:57:40
TF1810170016147,SH01,157,2018-10-11 16:46:13
TF1810170016188,SH01,158,2018-10-24 09:49:17
TF1810160006874,SH01,133,2018-10-26 19:27:06
TF1810170016139,SH01,27,2018-10-08 16:35:58
TF1810170016223,SH01,182,2018-10-19 21:41:25
TF1810170014094,SH01,56,2018-10-22 07:51:50
TF1810090016626,SH01,264,2018-10-03 08:44:47
608051324,SH01,25,2018-10-02 15:39:27
608056489,SH01,217,2018-10-11 20:36:48
TF1810050020227,SH01,296,2018-10-12 17:08:45
TF1810160006894,SH01,195,2018-10-07 18:38:19
TF1810170016785,SH01,200,2018-10-21 13:01:19
TF1810160006534,SH01,197,2018-10-06 12:30:58
TF1810050020205,SH01,201,2018-10-23 13:50:38
TF1810050009866,SH01,2,2018-10-10 11:10:24
TF1810050023647,SH01,22,2018-10-08 15:24:27
TF1810050023450,SH01,49,2018-10-25 12:18:24
TF1810050020218,SH01,184,2018-10-04 09:38:01
