sku,description,length,width,height,weight,price
18293107335,Item 18293107335,23,22,5,52.32457607,128.6371
18293107336,Item 18293107336,23,14,10,46.62564652,11.72399941
18293107337,Item 18293107337,13,19,1,88.39126405,25.9668309
18293107338,Item 18293107338,17,16,21,120.3748054,8.624971852
18293107339,Item 18293107339,14,10,11,20.01578991,23.62770313
18293107340,Item 18293107340,6,11,19,156.0952367,4.158639383
18293107635,Item 18293107635,16,11,20,10.91884567,13.13409914
18293107636,Item 18293107636,7,8,2,41.12721148,15.83872311
18293107637,Item 18293107637,11,18,17,3.025786707,175.9702322
18293107638,Item 18293107638,2,1,11,151.6997717,14.11499707
18293107639,Item 18293107639,19,4,23,157.2024275,117.1541837
18293107640,Item 18293107640,9,18,6,138.4109118,4.966286031
18293306134,Item 18293306134,12,4,17,152.9103481,24.53928973
18293306135,Item 18293306135,3,11,18,113.6753678,13.01954582
18293306136,Item 18293306136,21,13,16,91.87501395,13.02902709
18293306137,Item 18293306137,13,12,21,14.10289068,13.06865641
18293306138,Item 18293306138,16,5,11,145.9293787,19.25061777
18293306139,Item 18293306139,12,21,8,101.8997191,50.91206772
28247909035,Item 28247909035,11,1,1,102.8940003,54.30990364
28247909036,Item 28247909036,2,10,20,104.2067833,13.11504433
28247909037,Item 28247909037,6,3,19,34.54960627,17.22999491
28247909038,Item 28247909038,3,4,13,128.3108823,16.41832448
28247909039,Item 28247909039,16,3,8,56.22431419,73.06320678
15292313036,Item 15292313036,14,5,2,73.64283944,23.34579359
15292313035,Item 15292313035,3,5,2,109.4687942,152.4543616
16292400137,Item 16292400137,11,3,23,18.6101276,5.089262502
26241807637,Item 26241807637,11,7,19,131.4563252,103.9661998
16292300535,Item 16292300535,20,3,22,156.8083002,12.32451279
06291200837,Item 6291200837,3,19,9,125.0080544,23.72827664
26241804536,Item 26241804536,18,4,23,127.3772257,5.292364579
26241804537,Item 26241804537,16,21,12,5.241548622,7.847360179
06291200835,Item 6291200835,6,10,14,153.6719701,60.00028776
16292400136,Item 16292400136,8,2,15,54.91078417,98.83075578
26241802637,Item 26241802637,22,10,5,13.43506503,11.93523218
26241802636,Item 26241802636,17,18,20,6.816889733,8.959239374
26241807638,Item 26241807638,8,6,3,34.04369022,10.8336474
16292320037,Item 16292320037,1,4,10,142.7681687,24.37667954
18293306234,Item 18293306234,16,13,22,122.4296376,4.007013127
18293306235,Item 18293306235,20,2,2,60.59658152,21.15028461
18293306236,Item 18293306236,1,21,5,50.45345547,25.94972862
18293306237,Item 18293306237,20,18,12,37.84535323,3.502703501
18293306238,Item 18293306238,11,15,16,25.79798182,19.32525875
18293306239,Item 18293306239,20,2,23,150.6489096,87.70024055
18121118441,Item 18121118441,9,11,23,7.787317081,14.37137979
18143111743,Item 18143111743,9,9,3,40.82005856,127.9123922
18121118440,Item 18121118440,10,12,18,96.24264289,23.18408894
18121118438,Item 18121118438,3,4,16,136.1662541,9.627719416
18143111739,Item 18143111739,23,20,6,43.77048498,53.76702411
18121118442,Item 18121118442,11,20,22,96.68198972,13.58450382
18121118439,Item 18121118439,7,3,10,33.01295478,14.69944388
28242914635,Item 28242914635,7,4,21,59.93946188,54.48661146
28242914636,Item 28242914636,10,4,6,55.80440437,1.768340668
28242914637,Item 28242914637,6,8,14,72.47470446,24.45849682
28242914638,Item 28242914638,15,6,21,56.40914933,26.72930398
28242914639,Item 28242914639,5,11,12,22.32194917,109.9257097
85202900534,Item 85202900534,7,21,23,143.2808245,29.64837692
85202900535,Item 85202900535,16,1,10,147.5108239,59.65969758
85202900536,Item 85202900536,14,21,5,88.86195362,6.897673162
85202900537,Item 85202900537,17,16,12,73.34593207,11.26785026
85202900538,Item 85202900538,19,5,11,55.82107976,116.6031514
85202900539,Item 85202900539,7,18,17,138.9832875,51.82195989
15292309936,Item 15292309936,6,18,1,71.50357439,19.16969577
20026241136,Item 20026241136,20,16,2,123.4163682,4.22698455
16292400135,Item 16292400135,19,1,20,90.79410233,22.97354779
28247907335,Item 28247907335,2,7,21,39.52004898,8.038623301
28247907336,Item 28247907336,4,2,14,96.62771948,5.61840574
28247907337,Item 28247907337,9,6,9,8.22003192,28.03140415
28247907338,Item 28247907338,1,5,12,69.01848264,59.84204547
28247907339,Item 28247907339,2,1,22,122.5940703,27.03556104
07221205234,Item 7221205234,6,16,6,35.56743,12.64654758
07221205236,Item 7221205236,17,21,15,37.57674667,1.533567007
